0
AMT_ANNUITY: 66430 null values
AMT_CREDIT: 1 null values
AMT_DOWN_PAYMENT: 580168 null values
AMT_GOODS_PRICE: 79945 null values
RATE_DOWN_PAYMENT: 580168 null values
RATE_INTEREST_PRIMARY: 1347944 null values
RATE_INTEREST_PRIVILEGED: 1347944 null values
NAME_TYPE_SUITE: 514066 null values
CNT_PAYMENT: 66425 null values
PRODUCT_COMBINATION: 31 null values
DAYS_FIRST_DRAWING: 356746 null values
DAYS_FIRST_DUE: 356746 null values
DAYS_LAST_DUE_1ST_VERSION: 356746 null values
DAYS_LAST_DUE: 356746 null values
DAYS_TERMINATION: 356746 null values
NFLAG_INSURED_ON_APPROVAL: 356746 null values
